score_hint,journal,tier,domain,published,title,biz_hits,doi,url
2,IEEE TNNLS,CCF-B 期刊,信息系统/电商,2026-9,Logits-Level Balanced Machine Unlearning for LLM-Based Recommendation System,recommend|llm,10.1109/tnnls.2026.3660137,https://doi.org/10.1109/tnnls.2026.3660137
2,IEEE TNNLS,CCF-B 期刊,信息系统/电商,2026-9,Learning Optimal Policies With Local Observations for Cooperative Multiagent Reinforcement Learning,agent|reinforcement learning,10.1109/tnnls.2026.3673692,https://doi.org/10.1109/tnnls.2026.3673692
2,IEEE TNNLS,CCF-B 期刊,信息系统/电商,2026-8,Mitigating LLM Hallucination Snowballing in Multiagent Systems via Context-Aware Semantic Consistency Reasoning,llm|agent,10.1109/tnnls.2026.3655508,https://doi.org/10.1109/tnnls.2026.3655508
2,IEEE TNNLS,CCF-B 期刊,信息系统/电商,2026-7,A Dynamic Neural Network-Based Control Method Using Reinforcement Learning for Nonlinear Parameter-Varying System With Application to Morphing Aircraft,app|reinforcement learning,10.1109/tnnls.2025.3646358,https://doi.org/10.1109/tnnls.2025.3646358
2,IEEE TNNLS,CCF-B 期刊,信息系统/电商,2026-7,GHAttack: Generative Adversarial Attacks on Heterogeneous Graph Neural Networks,heterogeneous|graph neural,10.1109/tnnls.2025.3648367,https://doi.org/10.1109/tnnls.2025.3648367
2,IEEE TNNLS,CCF-B 期刊,信息系统/电商,2026-7,Deep Learning for Video Anomaly Detection: A Review,review|deep learning,10.1109/tnnls.2025.3647892,https://doi.org/10.1109/tnnls.2025.3647892
2,Information Processing & Management,CCF-B 期刊,信息系统/电商,2026-9,Adaptive talent aligner: A large language model with dynamic hierarchical analysis and bias-corrective memory pool for personalized human resource management,personaliz|large language model,10.1016/j.ipm.2026.104751,https://doi.org/10.1016/j.ipm.2026.104751
2,Information Processing & Management,CCF-B 期刊,信息系统/电商,2026-9,Privacy-preserving heterogeneous graph representation learning for recommendation,recommend|heterogeneous,10.1016/j.ipm.2026.104722,https://doi.org/10.1016/j.ipm.2026.104722
2,Information Processing & Management,CCF-B 期刊,信息系统/电商,2026-9,Reasoning-guided structured planning and search in large language models,search|large language model,10.1016/j.ipm.2026.104732,https://doi.org/10.1016/j.ipm.2026.104732
2,Information Processing & Management,CCF-B 期刊,信息系统/电商,2026-9,Understanding citation intents by generative intent model based on heterogeneous graph neural network,heterogeneous|graph neural,10.1016/j.ipm.2026.104743,https://doi.org/10.1016/j.ipm.2026.104743
2,Information Processing & Management,CCF-B 期刊,信息系统/电商,2026-9,DRUM: Distributionally robust optimization for LLM-based user model in interactive recommendation,recommend|llm,10.1016/j.ipm.2026.104746,https://doi.org/10.1016/j.ipm.2026.104746
2,Information Processing & Management,CCF-B 期刊,信息系统/电商,2026-9,Dual-view fusion of structure and behavior: A robust learning item recommendation framework against interest drift and cold-start,recommend|cold-start,10.1016/j.ipm.2026.104778,https://doi.org/10.1016/j.ipm.2026.104778
2,Information Processing & Management,CCF-B 期刊,信息系统/电商,2026-9,Dualmark: A novel dual watermarking approach for large language models,app|large language model,10.1016/j.ipm.2026.104707,https://doi.org/10.1016/j.ipm.2026.104707
2,Information Processing & Management,CCF-B 期刊,信息系统/电商,2026-9,Refine and reflect: Explainable stock predictions with large language models,stock|large language model,10.1016/j.ipm.2026.104742,https://doi.org/10.1016/j.ipm.2026.104742
2,Information Processing & Management,CCF-B 期刊,信息系统/电商,2026-9,A framework for hallucination mitigation in domain-specialized large language models with application to aviation maintenance decision support,app|large language model,10.1016/j.ipm.2026.104762,https://doi.org/10.1016/j.ipm.2026.104762
2,Information Processing & Management,CCF-B 期刊,信息系统/电商,2026-9,Toward better pragmatic tagging of peer review: Enhancing benchmark datasets via human-in-the-loop multi-agent collaboration,review|agent,10.1016/j.ipm.2026.104704,https://doi.org/10.1016/j.ipm.2026.104704
2,Information Processing & Management,CCF-B 期刊,信息系统/电商,2026-9,Extracting policy attention from Chinese texts: An LLM-enhanced dynamic topic modeling approach for the “Dual Carbon” agenda,app|llm,10.1016/j.ipm.2026.104760,https://doi.org/10.1016/j.ipm.2026.104760
